id,Churn,Mais65anos,Conjuge,Dependentes,MesesDeContrato,TelefoneFixo,MaisDeUmaLinhaTelefonica,Internet,SegurancaOnline,BackupOnline,SeguroDispositivo,SuporteTecnico,TVaCabo,StreamingFilmes,TipoContrato,ContaCorreio,MetodoPagamento,MesesCobrados
29,Sim,0,Nao,Sim,17,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Sim,Sim,Mensalmente,Sim,Boleto,64.7
30,Nao,1,Sim,Nao,71,Sim,Sim,FibraOptica,Sim,Sim,Sim,Sim,Nao,Nao,DoisAnos,Sim,CartaoCredito,96.35
31,Nao,1,Sim,Nao,2,Sim,Nao,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,Mensalmente,Sim,CartaoCredito,95.5
32,Nao,0,Sim,Sim,27,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Nao,Nao,UmAno,Nao,Boleto,66.15
33,Nao,0,Nao,Nao,1,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,DebitoEmConta,20.2
34,Nao,1,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,DebitoEmConta,45.25
35,Nao,0,Sim,Sim,72,Sim,Sim,FibraOptica,Sim,Sim,Nao,Sim,Sim,Nao,DoisAnos,Nao,DebitoEmConta,99.9
36,Sim,0,Nao,Nao,5,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,69.7
37,Nao,0,Nao,Nao,46,Sim,Nao,FibraOptica,Nao,Nao,Sim,Nao,Nao,Nao,Mensalmente,Sim,CartaoCredito,74.8
38,Sim,0,Nao,Nao,34,Sim,Sim,FibraOptica,Nao,Sim,Sim,Nao,Sim,Sim,Mensalmente,Sim,BoletoEletronico,106.35
39,Sim,0,Nao,Nao,11,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,Mensalmente,Sim,DebitoEmConta,97.85
40,Nao,0,Sim,Sim,10,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Nao,Nao,UmAno,Nao,Boleto,49.55
41,Nao,0,Sim,Sim,70,Sim,Sim,DSL,Sim,Sim,Nao,Nao,Sim,Nao,DoisAnos,Sim,CartaoCredito,69.2
42,Nao,0,Sim,Sim,17,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,UmAno,Nao,Boleto,20.75
43,Nao,0,Nao,Nao,63,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Nao,DoisAnos,Sim,CartaoCredito,79.85
44,Nao,0,Sim,Nao,13,Sim,Sim,DSL,Sim,Sim,Nao,Sim,Sim,Nao,Mensalmente,Sim,BoletoEletronico,76.2
45,Nao,0,Nao,Nao,49,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Sim,BoletoEletronico,84.5
46,Nao,0,Nao,Nao,2,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Mensalmente,Nao,Boleto,49.25
47,Sim,0,Nao,Nao,2,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Sim,Nao,Mensalmente,Sim,BoletoEletronico,80.65
48,Nao,0,Nao,Nao,52,Sim,Sim,DSL,Sim,Nao,Nao,Sim,Sim,Sim,DoisAnos,Sim,CartaoCredito,79.75
49,Nao,0,Sim,Sim,69,Sim,Sim,DSL,Sim,Nao,Sim,Sim,Nao,Nao,DoisAnos,Sim,CartaoCredito,64.15
50,Nao,1,Nao,Nao,43,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Nao,Mensalmente,Sim,BoletoEletronico,90.25
51,Sim,0,Nao,Nao,15,Sim,Nao,FibraOptica,Sim,Sim,Nao,Nao,Sim,Sim,Mensalmente,Sim,CartaoCredito,99.1
52,Nao,1,Sim,Nao,25,Sim,Sim,DSL,Sim,Nao,Nao,Sim,Sim,Nao,Mensalmente,Sim,CartaoCredito,69.5
53,Sim,1,Sim,Nao,8,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Nao,Nao,Mensalmente,Sim,CartaoCredito,80.65
54,Nao,1,Sim,Sim,60,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Nao,Sim,UmAno,Sim,CartaoCredito,74.85
55,Sim,1,Nao,Nao,18,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Sim,Sim,Mensalmente,Sim,BoletoEletronico,95.45
56,Nao,0,Sim,Sim,63,Sim,Sim,FibraOptica,Sim,Nao,Nao,Nao,Sim,Sim,UmAno,Sim,CartaoCredito,99.65
57,Nao,1,Sim,Sim,66,Sim,Sim,FibraOptica,Nao,Sim,Sim,Sim,Sim,Sim,UmAno,Sim,BoletoEletronico,108.45
58,Nao,0,Sim,Sim,34,Sim,Sim,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,CartaoCredito,24.95
59,Nao,0,Nao,Nao,72,Sim,Sim,FibraOptica,Nao,Nao,Sim,Sim,Sim,Sim,DoisAnos,Sim,CartaoCredito,107.5
60,Nao,0,Sim,Nao,47,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,Mensalmente,Sim,BoletoEletronico,100.5
61,Nao,0,Nao,Nao,60,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Nao,Mensalmente,Sim,DebitoEmConta,89.9
62,Nao,0,Sim,Nao,72,Nao,SemServicoTelefonico,DSL,Sim,Sim,Sim,Nao,Nao,Nao,DoisAnos,Nao,DebitoEmConta,42.1
63,Nao,0,Sim,Sim,18,Sim,Nao,DSL,Nao,Nao,Sim,Sim,Nao,Nao,UmAno,Sim,CartaoCredito,54.4
64,Sim,0,Nao,Nao,9,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Sim,Sim,Mensalmente,Nao,BoletoEletronico,94.4
65,Nao,0,Nao,Nao,3,Sim,Nao,DSL,Nao,Sim,Nao,Sim,Sim,Sim,Mensalmente,Sim,BoletoEletronico,75.3
66,Nao,0,Sim,Nao,47,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Nao,Nao,UmAno,Sim,BoletoEletronico,78.9
67,Nao,0,Nao,Nao,31,Sim,Nao,DSL,Nao,Sim,Sim,Sim,Sim,Sim,DoisAnos,Nao,Boleto,79.2
68,Nao,0,Sim,Sim,50,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,DebitoEmConta,20.15
69,Nao,0,Nao,Nao,10,Sim,Nao,FibraOptica,Sim,Nao,Sim,Nao,Nao,Nao,Mensalmente,Sim,Boleto,79.85
70,Nao,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Nao,Nao,Mensalmente,Nao,Boleto,49.05
71,Nao,0,Sim,Sim,52,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,UmAno,Sim,BoletoEletronico,20.4
72,Nao,1,Sim,Sim,64,Sim,Sim,FibraOptica,Sim,Nao,Sim,Sim,Sim,Sim,DoisAnos,Sim,DebitoEmConta,111.6
73,Nao,0,Sim,Sim,62,Sim,Sim,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Sim,DebitoEmConta,24.25
74,Nao,0,Nao,Sim,3,Sim,Nao,DSL,Sim,Nao,Nao,Sim,Nao,Sim,Mensalmente,Sim,DebitoEmConta,64.5
75,Nao,1,Nao,Nao,56,Sim,Sim,FibraOptica,Sim,Sim,Sim,Nao,Sim,Sim,UmAno,Nao,BoletoEletronico,110.5
76,Nao,0,Nao,Nao,46,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Sim,UmAno,Nao,CartaoCredito,55.65
77,Nao,0,Sim,Sim,8,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Nao,Nao,Mensalmente,Nao,Boleto,54.65
78,Nao,1,Nao,Nao,30,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Sim,Sim,Mensalmente,Sim,BoletoEletronico,74.75
79,Nao,0,Sim,Sim,45,Sim,Sim,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,UmAno,Sim,CartaoCredito,25.9
80,Sim,0,Nao,Sim,1,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Sim,Nao,Mensalmente,Sim,BoletoEletronico,79.35
81,Nao,0,Sim,Sim,11,Nao,SemServicoTelefonico,DSL,Sim,Nao,Nao,Nao,Sim,Sim,Mensalmente,Nao,BoletoEletronico,50.55
82,Sim,0,Sim,Nao,7,Sim,Nao,FibraOptica,Nao,Nao,Sim,Nao,Nao,Nao,Mensalmente,Sim,DebitoEmConta,75.15
83,Nao,0,Nao,Nao,42,Sim,Nao,FibraOptica,Nao,Sim,Sim,Sim,Sim,Sim,Mensalmente,Sim,DebitoEmConta,103.8
84,Nao,0,Sim,Nao,49,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Sim,DebitoEmConta,20.15
85,Nao,0,Nao,Nao,9,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Sim,Mensalmente,Sim,CartaoCredito,99.3
86,Nao,0,Sim,Nao,35,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Sim,Nao,UmAno,Sim,DebitoEmConta,62.15
87,Nao,0,Sim,Sim,48,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,DebitoEmConta,20.65
88,Nao,0,Sim,Sim,46,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Sim,Boleto,19.95
89,Nao,0,Sim,Nao,29,Nao,SemServicoTelefonico,DSL,Nao,Nao,Nao,Nao,Sim,Nao,Mensalmente,Nao,Boleto,33.75
90,Nao,0,Sim,Sim,30,Sim,Nao,FibraOptica,Nao,Sim,Sim,Nao,Nao,Nao,Mensalmente,Nao,DebitoEmConta,82.05
91,Nao,1,Nao,Nao,1,Sim,Nao,FibraOptica,Nao,Nao,Nao,Sim,Nao,Nao,Mensalmente,Nao,BoletoEletronico,74.7
92,Nao,0,Sim,Sim,66,Sim,Sim,DSL,Sim,Nao,Sim,Sim,Sim,Sim,DoisAnos,Sim,Boleto,84.0
93,Nao,0,Nao,Nao,65,Sim,Sim,FibraOptica,Sim,Sim,Sim,Nao,Sim,Sim,Mensalmente,Sim,CartaoCredito,111.05
94,Nao,0,Nao,Nao,72,Sim,Sim,FibraOptica,Nao,Sim,Sim,Nao,Sim,Sim,DoisAnos,Sim,DebitoEmConta,100.9
95,Sim,0,Nao,Nao,12,Sim,Sim,FibraOptica,Sim,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,78.95
96,Nao,0,Sim,Sim,71,Sim,Sim,DSL,Sim,Sim,Nao,Sim,Nao,Nao,UmAno,Sim,CartaoCredito,66.85
97,Sim,0,Nao,Nao,5,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,Boleto,21.05
98,Nao,0,Nao,Nao,52,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,DebitoEmConta,21.0
99,Sim,1,Sim,Nao,25,Sim,Nao,FibraOptica,Nao,Sim,Sim,Nao,Sim,Sim,Mensalmente,Sim,BoletoEletronico,98.5
100,Nao,0,Nao,Nao,1,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,Boleto,20.2
101,Nao,0,Sim,Sim,1,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,BoletoEletronico,19.45
102,Nao,0,Nao,Nao,38,Sim,Sim,FibraOptica,Nao,Nao,Sim,Sim,Sim,Nao,UmAno,Nao,DebitoEmConta,95.0
103,Nao,1,Sim,Nao,66,Nao,SemServicoTelefonico,DSL,Nao,Sim,Sim,Nao,Sim,Nao,UmAno,Nao,DebitoEmConta,45.55
104,Sim,0,Sim,Nao,68,Sim,Sim,FibraOptica,Nao,Sim,Sim,Sim,Sim,Sim,DoisAnos,Sim,DebitoEmConta,110.0
105,Nao,0,Nao,Nao,5,Nao,SemServicoTelefonico,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,Boleto,24.3
106,Nao,0,Sim,Sim,72,Sim,Sim,FibraOptica,Sim,Sim,Nao,Nao,Sim,Sim,UmAno,Sim,BoletoEletronico,104.15
107,Nao,0,Nao,Nao,32,Nao,SemServicoTelefonico,DSL,Sim,Nao,Nao,Nao,Nao,Nao,UmAno,Nao,Boleto,30.15
108,Nao,0,Nao,Nao,43,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Sim,Sim,UmAno,Nao,Boleto,94.35
109,Nao,0,Sim,Sim,72,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,CartaoCredito,19.4
110,Sim,0,Sim,Nao,55,Sim,Sim,FibraOptica,Sim,Sim,Nao,Nao,Sim,Nao,Mensalmente,Sim,BoletoEletronico,96.75
111,Nao,0,Nao,Nao,52,Sim,Nao,DSL,Sim,Nao,Sim,Sim,Nao,Nao,UmAno,Nao,CartaoCredito,57.95
112,Nao,0,Nao,Nao,43,Sim,Nao,FibraOptica,Nao,Sim,Sim,Nao,Sim,Nao,Mensalmente,Sim,BoletoEletronico,91.65
113,Sim,1,Sim,Nao,37,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,76.5
114,Nao,0,Sim,Sim,64,Nao,SemServicoTelefonico,DSL,Nao,Sim,Nao,Sim,Sim,Sim,DoisAnos,Sim,BoletoEletronico,54.6
115,Nao,0,Sim,Sim,3,Sim,Nao,FibraOptica,Sim,Sim,Nao,Nao,Sim,Nao,Mensalmente,Nao,BoletoEletronico,89.85
116,Nao,0,Nao,Nao,36,Nao,SemServicoTelefonico,DSL,Sim,Nao,Nao,Nao,Nao,Nao,DoisAnos,Nao,DebitoEmConta,31.05
117,Sim,0,Sim,Sim,10,Sim,Sim,FibraOptica,Sim,Nao,Nao,Nao,Sim,Sim,Mensalmente,Sim,BoletoEletronico,100.25
118,Nao,0,Nao,Nao,41,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,Boleto,20.65
119,Nao,0,Sim,Sim,27,Sim,Sim,FibraOptica,Nao,Sim,Nao,Sim,Nao,Nao,Mensalmente,Sim,CartaoCredito,85.2
120,Nao,0,Sim,Sim,56,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,UmAno,Sim,CartaoCredito,99.8
121,Nao,0,Nao,Nao,6,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,Boleto,20.7
122,Sim,0,Nao,Nao,3,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,74.4
123,Nao,0,Sim,Sim,7,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,Boleto,50.7
124,Nao,0,Sim,Sim,4,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,Boleto,20.85
125,Nao,0,Nao,Nao,33,Sim,Nao,FibraOptica,Sim,Nao,Nao,Sim,Sim,Nao,DoisAnos,Sim,BoletoEletronico,88.95
126,Sim,1,Nao,Nao,27,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,78.05
127,Nao,0,Sim,Nao,72,Sim,Sim,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Sim,DebitoEmConta,23.55
128,Nao,0,Nao,Nao,1,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,Boleto,19.75
129,Nao,1,Nao,Nao,71,Nao,SemServicoTelefonico,DSL,Sim,Sim,Nao,Nao,Sim,Sim,UmAno,Sim,BoletoEletronico,56.45
130,Nao,0,Nao,Nao,13,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Sim,BoletoEletronico,85.95
131,Sim,0,Sim,Sim,25,Nao,SemServicoTelefonico,DSL,Sim,Sim,Sim,Nao,Sim,Sim,Mensalmente,Sim,CartaoCredito,58.6
132,Nao,0,Nao,Nao,67,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Nao,Nao,DoisAnos,Nao,DebitoEmConta,50.55
133,Sim,0,Nao,Nao,1,Nao,SemServicoTelefonico,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Sim,BoletoEletronico,35.45
134,Sim,0,Nao,Nao,2,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,BoletoEletronico,44.35
135,Nao,0,Nao,Nao,43,Sim,Sim,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Sim,CartaoCredito,25.7
136,Nao,0,Nao,Nao,23,Sim,Nao,FibraOptica,Sim,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,DebitoEmConta,75.0
137,Nao,0,Sim,Sim,64,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,Boleto,20.2
138,Nao,0,Nao,Sim,57,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Sim,Boleto,19.6
139,Sim,1,Sim,Nao,1,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,Boleto,70.45
140,Nao,1,Sim,Sim,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,DoisAnos,Sim,CartaoCredito,88.05
141,Sim,0,Nao,Nao,8,Sim,Sim,DSL,Sim,Nao,Nao,Sim,Nao,Sim,Mensalmente,Nao,BoletoEletronico,71.15
142,Nao,0,Sim,Nao,61,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Sim,DoisAnos,Sim,DebitoEmConta,101.05
143,Nao,0,Nao,Nao,64,Sim,Sim,FibraOptica,Sim,Sim,Nao,Nao,Nao,Nao,UmAno,Sim,CartaoCredito,84.3
144,Nao,1,Sim,Nao,71,Sim,Sim,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,DebitoEmConta,23.95
145,Nao,0,Sim,Sim,65,Sim,Sim,FibraOptica,Sim,Sim,Nao,Sim,Sim,Nao,DoisAnos,Sim,CartaoCredito,99.05
146,Nao,0,Nao,Nao,3,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,UmAno,Nao,Boleto,19.6
147,Sim,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,45.65
148,Nao,0,Nao,Sim,30,Sim,Nao,DSL,Nao,Sim,Sim,Nao,Sim,Nao,UmAno,Nao,CartaoCredito,64.5
149,Nao,0,Sim,Sim,15,Sim,Nao,DSL,Nao,Sim,Sim,Sim,Nao,Sim,Mensalmente,Sim,Boleto,69.5
150,Nao,0,Sim,Sim,8,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Sim,Sim,Mensalmente,Sim,BoletoEletronico,68.55
151,Sim,0,Nao,Nao,7,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Sim,Sim,Mensalmente,Nao,Boleto,95.0
152,Nao,0,Sim,Sim,70,Sim,Sim,FibraOptica,Sim,Sim,Sim,Nao,Sim,Sim,UmAno,Sim,CartaoCredito,108.15
153,Nao,0,Sim,Sim,62,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Sim,DoisAnos,Nao,BoletoEletronico,86.1
154,Nao,0,Sim,Sim,6,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,Boleto,19.7
155,Nao,0,Sim,Sim,14,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Sim,DebitoEmConta,80.9
156,Nao,0,Nao,Nao,22,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Sim,Nao,Mensalmente,Sim,DebitoEmConta,84.15
157,Nao,0,Sim,Sim,22,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,UmAno,Nao,Boleto,20.15
158,Nao,0,Sim,Sim,16,Sim,Nao,DSL,Sim,Nao,Sim,Nao,Sim,Nao,DoisAnos,Nao,Boleto,64.25
159,Nao,0,Nao,Nao,10,Sim,Sim,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,DebitoEmConta,25.7
160,Nao,0,Nao,Sim,13,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,56.0
161,Sim,0,Sim,Nao,20,Sim,Sim,FibraOptica,Sim,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,BoletoEletronico,82.4
